都市番号,x座標,y座標
70,85
71,77
72,83
73,57
74,19
75,29
76,35
77,37
78,9
79,99
80,48
81,67
82,10
83,44
84,55
85,12
86,81
87,28
88,80
89,41
90,40
91,1
92,78
93,84
94,27
95,72
96,5
97,43
98,58
99,74
100,32
最近隣法での巡回経路,,2opt法での巡回経路
訪問順序,都市番号,訪問順序,都市番号
1,4,1,4
2,6,2,99
3,7,3,65
4,49,4,9
5,93,5,37
6,100,6,97
7,59,7,31
8,87,8,89
9,30,9,35
10,23,10,95
11,71,11,16
12,65,12,11
13,14,13,25
14,98,14,33
15,70,15,56
16,47,16,68
17,97,17,82
18,53,18,42
19,31,19,38
20,89,20,90
21,51,21,63
22,79,22,46
23,96,23,91
24,75,24,60
25,16,25,69
26,95,26,54
27,11,27,36
28,25,28,88
29,33,29,52
30,56,30,61
31,68,31,84
32,42,32,78
33,82,33,1
34,38,34,80
35,90,35,41
36,63,36,40
37,46,37,28
38,91,38,81
39,60,39,20
40,69,40,8
41,54,41,18
42,36,42,85
43,88,43,77
44,52,44,83
45,61,45,19
46,17,46,57
47,15,47,29
48,50,48,75
49,64,49,96
50,26,50,79
51,45,51,51
52,86,52,53
53,73,53,47
54,13,54,70
55,94,55,98
56,66,56,14
57,22,57,71
58,92,58,23
59,76,59,30
60,62,60,87
61,34,61,59
62,39,62,93
63,21,63,100
64,24,64,49
65,3,65,7
66,2,66,6
67,20,67,48
68,8,68,67
69,18,69,10
70,85,70,44
71,77,71,55
72,83,72,12
73,57,73,3
74,19,74,2
75,29,75,24
76,35,76,21
77,37,77,39
78,9,78,34
79,99,79,62
80,48,80,76
81,67,81,92
82,10,82,66
83,44,83,94
84,55,84,22
85,12,85,13
86,81,86,86
87,28,87,73
88,80,88,26
89,41,89,45
90,40,90,64
91,1,91,50
92,78,92,15
93,84,93,17
94,27,94,27
95,72,95,72
96,5,96,5
97,43,97,43
98,58,98,58
99,74,99,74
100,32,100,32
start = 4,tdis = 100455.398838,tdis_new = 92708.077213
改善度 = 7.712200（％）
2opt法適用 総移動距離（改善後）,92708.077213
探索処理時間,0.006579000000000秒
